_id,작성자,선택 옵션,별점,내용
658b9613b512fe877f82f2f3,kht7***,선택 옵션 위하닭 위하소 골라담기:시그니처 김치,5,
658b9613b512fe877f82f2f4,S|11***************,선택 옵션 위하닭 위하소 골라담기:부채살 스테이크 200g,5,
658b9613b512fe877f82f2f5,S|11***************,선택 옵션 위하닭 위하소 골라담기:우둔살 큐브 200g,5,
658b9613b512fe877f82f2f6,S|11***************,선택 옵션 위하닭 위하소 골라담기:설도 큐브 200g,5,
658b9613b512fe877f82f2f7,cheeselove,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 한입올리브,5,
658b9613b512fe877f82f2f8,cheeselove,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 양념치킨,5,진짜 양념치킨 먹는줄...
658b9613b512fe877f82f2f9,cheeselove,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 갈릭,5,
658b9613b512fe877f82f2fa,cheeselove,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 그릴,5,
658b9613b512fe877f82f2fb,cheeselove,선택 옵션 위하닭 위하소 골라담기:소시지 득근 임실치즈,5,
658b9613b512fe877f82f2fc,cheeselove,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 한입깐풍,5,
658b9613b512fe877f82f2fd,cheeselove,선택 옵션 위하닭 위하소 골라담기:득근 싱글 어니언,5,
658b9613b512fe877f82f2fe,wonj******,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 페퍼칠리,5,
658b9613b512fe877f82f2ff,wonj******,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 커리,5,
658b9613b512fe877f82f300,wonj******,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 오리지널,5,
658b9613b512fe877f82f301,euns******,선택 옵션 단호한결심 위하닭:03_소시지 득근 훈제,5,
658b9613b512fe877f82f302,ndal***********,선택 옵션 단호한결심 위하닭:블랙라벨 양념치킨,5,조아요조아여 늘먹는거예오
658b9613b512fe877f82f303,ndal***********,선택 옵션 단호한결심 위하닭:커리,5,
658b9613b512fe877f82f304,skad******,선택 옵션 단호한결심 위하닭:01_득근 싱글 오리지널,5,
